"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"79",79,"60-15-col-ww-2.tif",1,"1a1fa65c-0b30-4504-8525-3a9294e95d8e",109.98637,49.79,743,400,659,471,44.66,-1,-1,-1,-1,-1,-1,15,3,0.37,743,1897,1826,659
"80",80,"60-15-col-ww-2.tif",1,"408ad3c0-31ea-43bb-81c4-7bf8e105acf4",115.12167,57.41,984,400,1081,462,67.1,-1,-1,-1,-1,-1,-1,15,3,0.39,984,1897,1835,1081
"81",81,"60-15-col-ww-2.tif",1,"ffbfd01e-372f-4734-b6bd-2795ff463204",70.45566,34.59,779,402,739,460,55.96,-1,-1,-1,-1,-1,-1,15,3,0.24,779,1895,1837,739
"82",82,"60-15-col-ww-2.tif",1,"5a78a346-a79d-4b84-b00c-5a22f53e7673",33.600594,53.47,930,442,903,462,69.32,-1,-1,-1,-1,-1,-1,15,3,0.11,930,1855,1835,903
"83",83,"60-15-col-ww-2.tif",1,"c226c095-00b6-4f94-ab57-6fa7a3a047f0",84.0238,51.77,955,443,1021,495,62.74,-1,-1,-1,-1,-1,-1,15,3,0.28,955,1854,1802,1021
"84",84,"60-15-col-ww-2.tif",1,"03e73948-dead-4ea4-8633-c9d43fcb221b",75.10659,3.05,956,445,952,520,60.77,-1,-1,-1,-1,-1,-1,15,3,0.25,956,1852,1777,952
"85",85,"60-15-col-ww-2.tif",1,"7b7773f7-10c5-4646-bbb6-4104e6504519",24.758837,43.36,1120,464,1137,482,68.26,-1,-1,-1,-1,-1,-1,15,3,0.08,1120,1833,1815,1137
"86",86,"60-15-col-ww-2.tif",1,"e371d89b-4a52-4e4b-9462-57fba838cdbd",92.76314,48.06,871,483,802,545,61.78,-1,-1,-1,-1,-1,-1,15,3,0.31,871,1814,1752,802
"87",87,"60-15-col-ww-2.tif",1,"39dfb54e-287a-4f0e-884b-c73f5471ad8e",48.8774,59.24,1146,489,1188,514,57.54,-1,-1,-1,-1,-1,-1,15,3,0.16,1146,1808,1783,1188
"88",88,"60-15-col-ww-2.tif",1,"c5261c14-c604-4d58-93f7-a760f367d46e",31.304953,63.43,1028,500,1056,514,64.63,-1,-1,-1,-1,-1,-1,15,3,0.11,1028,1797,1783,1056
"89",89,"60-15-col-ww-2.tif",1,"538eeac2-53d3-4e9b-a167-3cb8c51d2bbd",116.41735,76.08,1064,516,1177,544,64.18,-1,-1,-1,-1,-1,-1,15,3,0.39,1064,1781,1753,1177
"90",90,"60-15-col-ww-2.tif",1,"7d7616cf-8906-40b8-b0aa-103e8e43f64a",181.5957,62.45,943,543,1104,627,57.31,-1,-1,-1,-1,-1,-1,15,3,0.61,943,1754,1670,1104
"91",91,"60-15-col-ww-2.tif",1,"fa057383-9885-49a6-bc0a-fbbcf1b296fe",64.84597,17.04,955,574,936,636,61.66,-1,-1,-1,-1,-1,-1,15,3,0.22,955,1723,1661,936
"92",92,"60-15-col-ww-2.tif",1,"68143c39-a462-43fd-b9d5-29fa07b7f200",144.91722,58.83,938,624,814,699,51.29,-1,-1,-1,-1,-1,-1,15,3,0.49,938,1673,1598,814
"93",93,"60-15-col-ww-2.tif",1,"fb0c9bc5-a952-4375-af19-2dd23c1a8ed9",89.1852,59.7,912,718,989,763,61.69,-1,-1,-1,-1,-1,-1,15,3,0.3,912,1579,1534,989
"94",94,"60-15-col-ww-2.tif",1,"e8cb6313-961d-4c8a-9a1d-7c92f7490d10",36.619667,55.01,1054,781,1084,802,61.36,-1,-1,-1,-1,-1,-1,15,3,0.12,1054,1516,1495,1084
"95",95,"60-15-col-ww-2.tif",1,"366f4689-c900-4f3f-aeed-ca26684e2689",42.755116,79.22,894,793,852,801,55.49,-1,-1,-1,-1,-1,-1,15,3,0.14,894,1504,1496,852
"96",96,"60-15-col-ww-2.tif",1,"fee8fd52-0b27-4a06-b311-9a015737fb21",38.470768,8.97,950,879,956,917,60.61,-1,-1,-1,-1,-1,-1,15,3,0.13,950,1418,1380,956
"97",97,"60-15-col-ww-2.tif",1,"2972491b-c74c-4971-9959-dc00b0a50a29",37.215588,30.7,947,1050,928,1082,63.98,-1,-1,-1,-1,-1,-1,15,3,0.13,947,1247,1215,928
"98",98,"60-15-col-ww-2.tif",1,"79bb44fd-b991-4f7c-ba57-6bda0ee19584",85.146935,3.37,984,1171,979,1256,71.07,-1,-1,-1,-1,-1,-1,15,3,0.29,984,1126,1041,979
"99",99,"60-15-col-ww-2.tif",1,"69f9a22e-ce76-4784-b3fc-2a50b8b4f3bf",108.52189,16.6,978,1275,947,1379,66.46,-1,-1,-1,-1,-1,-1,15,3,0.36,978,1022,918,947
"100",100,"60-15-col-ww-2.tif",1,"a614d717-b651-4ef3-ac07-ba77636d44cf",26.400757,24.62,904,1438,893,1462,67.31,-1,-1,-1,-1,-1,-1,15,3,0.09,904,859,835,893
"101",101,"60-16-col-wd-2.tif",2,"16644f12-52a3-41f4-b88a-0c70e80ab20b",35.35534,8.13,965,19,970,54,42.46,-1,-1,-1,-1,-1,-1,16,2,0.12,965,2278,2243,970
"102",102,"60-16-col-wd-2.tif",2,"7ce61db0-e4e0-4335-b4c7-bea045db9b21",55.145264,4.16,942,34,938,89,47.45,-1,-1,-1,-1,-1,-1,16,2,0.19,942,2263,2208,938
"103",103,"60-16-col-wd-2.tif",2,"be6ec2b8-4399-4c98-98e1-25c023f7b21f",81.58431,78.69,925,97,845,113,46.82,-1,-1,-1,-1,-1,-1,16,2,0.27,925,2200,2184,845
