image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,0f126333-791a-445a-b7f8-04a61cabf8c4,6.288306,1.9907023,95.42536,706,1589
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,85d42497-9a1c-47fd-b609-235c31d86934,10.159091,2.5801642,22.022715,1121,1569
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,e1586f67-d2a7-4285-a518-f51dd6e7ed15,14.658163,3.0666552,48.166378,979,1636
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,3a3ef47a-a305-445e-aaa8-81fa53a9a095,11.784483,2.8229702,18.439089,889,1679
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,2c77ab12-869c-4fd4-bed9-688d6d015e0f,9.044118,2.4601626,36.23534,743,1692
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,1055a0c4-a0e5-41a2-899b-aaa412c674a7,12.1595745,3.2946193,48.8467,812,1713
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,d9c8323f-9ccd-4765-a713-83ca0e72e4bf,7.5049505,1.9630607,34.655445,1338,1718
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,597cabc7-0e97-41c2-ad73-a86183990662,11.856589,3.1193202,30,981,1743
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,d782d94e-33b0-4cc5-ab28-5e494160e2b9,10.431159,2.8284128,37.215588,1092,1811
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,fb60ed50-3c83-4ee1-bf4a-be342fd8d19d,7.284024,2.1161656,29.206163,1215,1853
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,1e7fcefe-ed16-46a7-a099-29c6adeb9f5f,7.662791,2.4650984,31.320919,817,1902
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,74640aac-0c55-42ce-b35c-389161385eb8,6.589947,1.8988358,56.82429,1181,1902
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,6d9bd9e8-0874-4088-89db-be1e9afba620,10.235698,2.8269618,62.1289,792,1931
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,b797f3fb-ec60-4561-a2ca-f3ecc129e7c0,9.302521,2.364047,20.880613,798,1961
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,7c79dbca-7477-40d8-b1e0-0f6b517eef38,6.3287673,2.1839826,25.612497,880,2029
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,22002b18-6717-4a65-8dd5-76570bf68c60,7.1049385,2.2276282,24.166092,852,2131
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,9ed9132c-2067-4f3f-adbf-a537a718a211,7.0539217,2.239055,22.472204,909,2245
57-ZAT12-5-R24-SR3-FLT542-C-AQ1.tif,2,d2d7950a-995d-4ed7-95d6-38bc0ca273fd,6.571429,2.5,22.671568,947,2304
