id,label,envi,x,y,group,time_in_serie,hum
336,60-16-col-wd-1.tif,40.25,1890.70,1736.73,2,1,60.2325
337,60-16-col-wd-1.tif,40.57,1882.83,1899.71,2,1,58.9941
338,60-16-col-wd-1.tif,40.18,1898.01,2053.52,2,1,60.5034
339,60-16-col-wd-1.tif,39.27,1894.04,2174.78,2,1,64.0251
340,60-16-col-wd-1.tif,39.59,1897.13,2339.28,2,1,62.7867
341,60-16-col-wd-1.tif,38.61,1886.65,2479.69,2,1,66.5793
342,60-16-col-wd-1.tif,38.22,1877.68,2628.91,2,1,68.0886
343,60-16-col-wd-1.tif,39.61,1902.82,2778.59,2,1,62.7093
344,60-16-col-wd-1.tif,39.59,1909.67,2931.40,2,1,62.7867
345,60-16-col-wd-1.tif,37.65,1887.68,3091.50,2,1,70.2945
346,60-16-col-wd-1.tif,38.15,1878.56,3244.69,2,1,68.3595
347,60-16-col-wd-1.tif,38.73,1887.07,3397.36,2,1,66.1149
348,60-16-col-wd-1.tif,39.05,1884.17,3549.79,2,1,64.8765
349,60-16-col-wd-1.tif,40.51,1884.07,3701.19,2,1,59.2263
350,60-16-col-wd-1.tif,39.73,1876.44,3841.09,2,1,62.2449
351,60-16-col-wd-1.tif,43.2,1899.29,3979.83,2,1,48.816
352,60-16-col-ww-3.tif,43.78,95.74,96.09,1,1,46.5714
353,60-16-col-ww-3.tif,41.86,94.09,231.62,1,1,54.0018
354,60-16-col-ww-3.tif,42.81,81.35,389.95,1,1,50.3253
355,60-16-col-ww-3.tif,42.62,83.39,543.90,1,1,51.0606
356,60-16-col-ww-3.tif,43.42,76.15,697.65,1,1,47.9646
357,60-16-col-ww-3.tif,41.27,92.38,831.94,1,1,56.2851
358,60-16-col-ww-3.tif,41.6,89.36,977.89,1,1,55.008
359,60-16-col-ww-3.tif,41.02,97.26,1140.60,1,1,57.2526
360,60-16-col-ww-3.tif,41.5,92.34,1303.98,1,1,55.395
361,60-16-col-ww-3.tif,40.98,95.33,1433.40,1,1,57.4074
362,60-16-col-ww-3.tif,42.5,82.51,1579.52,1,1,51.525
363,60-16-col-ww-3.tif,42.79,75.87,1726.16,1,1,50.4027
364,60-16-col-ww-3.tif,41.53,90.42,1892.46,1,1,55.2789
