"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"348","32","20","col","dark","14","1.tif",0,14.350649,64,0
"349","32","20","col","dark","14","1.tif",0,14.350649,66,3.94965672492981
"350","32","20","col","dark","14","1.tif",0,14.350649,68,0.0654933676123619
"351","32","20","col","dark","14","1.tif",0,14.350649,70,0
"352","32","20","col","dark","14","1.tif",0,14.350649,72,0.965674221515656
"353","32","20","col","dark","14","1.tif",0,14.350649,74,0.0647876188158989
"354","32","20","col","dark","14","1.tif",0,14.350649,76,0
"355","32","20","col","dark","14","1.tif",0,14.350649,78,0
"356","32","20","col","dark","14","1.tif",0,14.350649,80,0
"357","32","20","col","dark","14","1.tif",0,14.350649,82,0
"358","32","20","col","dark","14","1.tif",0,14.350649,84,0
"359","32","20","col","dark","14","1.tif",0,14.350649,86,0
"360","32","20","col","dark","14","1.tif",0,14.350649,88,0
"361","32","20","col","dark","14","1.tif",0,19.1342,90,NA
"362","32","20","col","dark","14","1.tif",0,19.1342,88,NA
"363","32","20","col","dark","14","1.tif",0,19.1342,86,NA
"364","32","20","col","dark","14","1.tif",0,19.1342,84,NA
"365","32","20","col","dark","14","1.tif",0,19.1342,82,NA
"366","32","20","col","dark","14","1.tif",0,19.1342,80,NA
"367","32","20","col","dark","14","1.tif",0,19.1342,78,NA
"368","32","20","col","dark","14","1.tif",0,19.1342,76,NA
"369","32","20","col","dark","14","1.tif",0,19.1342,74,NA
"370","32","20","col","dark","14","1.tif",0,19.1342,72,NA
"371","32","20","col","dark","14","1.tif",0,19.1342,70,NA
"372","32","20","col","dark","14","1.tif",0,19.1342,68,NA
"373","32","20","col","dark","14","1.tif",0,19.1342,66,NA
"374","32","20","col","dark","14","1.tif",0,19.1342,64,NA
"375","32","20","col","dark","14","1.tif",0,19.1342,62,NA
"376","32","20","col","dark","14","1.tif",0,19.1342,60,NA
"377","32","20","col","dark","14","1.tif",0,19.1342,58,NA
"378","32","20","col","dark","14","1.tif",0,19.1342,56,NA
"379","32","20","col","dark","14","1.tif",0,19.1342,54,NA
"380","32","20","col","dark","14","1.tif",0,19.1342,52,NA
"381","32","20","col","dark","14","1.tif",0,19.1342,50,NA
"382","32","20","col","dark","14","1.tif",0,19.1342,48,NA
"383","32","20","col","dark","14","1.tif",0,19.1342,46,NA
"384","32","20","col","dark","14","1.tif",0,19.1342,44,NA
"385","32","20","col","dark","14","1.tif",0,19.1342,42,NA
"386","32","20","col","dark","14","1.tif",0,19.1342,40,NA
"387","32","20","col","dark","14","1.tif",0,19.1342,38,NA
"388","32","20","col","dark","14","1.tif",0,19.1342,36,NA
"389","32","20","col","dark","14","1.tif",0,19.1342,34,NA
"390","32","20","col","dark","14","1.tif",0,19.1342,32,NA
"391","32","20","col","dark","14","1.tif",0,19.1342,30,NA
"392","32","20","col","dark","14","1.tif",0,19.1342,28,NA
"393","32","20","col","dark","14","1.tif",0,19.1342,26,NA
"394","32","20","col","dark","14","1.tif",0,19.1342,24,NA
"395","32","20","col","dark","14","1.tif",0,19.1342,22,NA
"396","32","20","col","dark","14","1.tif",0,19.1342,20,NA
"397","32","20","col","dark","14","1.tif",0,19.1342,18,NA
"398","32","20","col","dark","14","1.tif",0,19.1342,16,NA
"399","32","20","col","dark","14","1.tif",0,19.1342,14,NA
"400","32","20","col","dark","14","1.tif",0,19.1342,12,NA
