"","experiment","das","phosphorus","plant","aq","x","y","angle","count"
"399","53","22","high","5","3.tif",0,0,14,1.3520094156
"400","53","22","high","5","3.tif",0,0,12,1.7051639557
"401","53","22","high","5","3.tif",0,0,10,1.8687335253
"402","53","22","high","5","3.tif",0,0,8,1.7977674007
"403","53","22","high","5","3.tif",0,0,6,1.8181544542
"404","53","22","high","5","3.tif",0,0,4,1.5929956436
"405","53","22","high","5","3.tif",0,0,2,1.8530590534
"406","53","22","high","5","3.tif",0,0,1.27222193825778e-13,2.4367022514
"407","53","22","high","5","3.tif",0,0,2,1.7109577656
"408","53","22","high","5","3.tif",0,0,4,1.5893284082
"409","53","22","high","5","3.tif",0,0,6,1.7921391726
"410","53","22","high","5","3.tif",0,0,8,1.5440484285
"411","53","22","high","5","3.tif",0,0,10,0.9516979456
"412","53","22","high","5","3.tif",0,0,12,0.7076027989
"413","53","22","high","5","3.tif",0,0,14,0.7856922746
"414","53","22","high","5","3.tif",0,0,16,0.8366212845
"415","53","22","high","5","3.tif",0,0,18,0.7172963619
"416","53","22","high","5","3.tif",0,0,20,0.6733903289
"417","53","22","high","5","3.tif",0,0,22,0.7574938536
"418","53","22","high","5","3.tif",0,0,24,0.7897809148
"419","53","22","high","5","3.tif",0,0,26,0.9226003289
"420","53","22","high","5","3.tif",0,0,28,0.7763094902
"421","53","22","high","5","3.tif",0,0,30,0.9994341135
"422","53","22","high","5","3.tif",0,0,32,1.1697523594
"423","53","22","high","5","3.tif",0,0,34,1.1698721647
"424","53","22","high","5","3.tif",0,0,36,1.1420501471
"425","53","22","high","5","3.tif",0,0,38,1.0502901077
"426","53","22","high","5","3.tif",0,0,40,1.1618115902
"427","53","22","high","5","3.tif",0,0,42,1.3705388308
"428","53","22","high","5","3.tif",0,0,44,1.4238084555
"429","53","22","high","5","3.tif",0,0,46,1.5892022848
"430","53","22","high","5","3.tif",0,0,48,1.9046450853
"431","53","22","high","5","3.tif",0,0,50,1.9770530462
"432","53","22","high","5","3.tif",0,0,52,1.6541553736
"433","53","22","high","5","3.tif",0,0,54,1.5257664919
"434","53","22","high","5","3.tif",0,0,56,1.5537140369
"435","53","22","high","5","3.tif",0,0,58,1.2017520666
"436","53","22","high","5","3.tif",0,0,60,1.1734052896
"437","53","22","high","5","3.tif",0,0,62,0.9123618007
"438","53","22","high","5","3.tif",0,0,64,0.7210377455
"439","53","22","high","5","3.tif",0,0,66,0.5838416219
"440","53","22","high","5","3.tif",0,0,68,0.5469668508
"441","53","22","high","5","3.tif",0,0,70,0.5629459023
"442","53","22","high","5","3.tif",0,0,72,0.5611077547
"443","53","22","high","5","3.tif",0,0,74,0.4684111774
"444","53","22","high","5","3.tif",0,0,76,0.4403803945
"445","53","22","high","5","3.tif",0,0,78,0.4686376154
"446","53","22","high","5","3.tif",0,0,80,0.4170567095
"447","53","22","high","5","3.tif",0,0,82,0.3683993518
"448","53","22","high","5","3.tif",0,0,84,0.3861066103
"449","53","22","high","5","3.tif",0,0,86,0.3690424562
"450","53","22","high","5","3.tif",0,0,88,0.4027461112
"451","53","22","low","1","1.tif",0,0,90,0.4937830567
"452","53","22","low","1","1.tif",0,0,88,0.3024621606
"453","53","22","low","1","1.tif",0,0,86,0.3333286047
"454","53","22","low","1","1.tif",0,0,84,0.354480952
"455","53","22","low","1","1.tif",0,0,82,0.435639143
"456","53","22","low","1","1.tif",0,0,80,0.4757325053
"457","53","22","low","1","1.tif",0,0,78,0.535243988
"458","53","22","low","1","1.tif",0,0,76,0.5372252464
"459","53","22","low","1","1.tif",0,0,74,0.718439579
"460","53","22","low","1","1.tif",0,0,72,0.7055848241
"461","53","22","low","1","1.tif",0,0,70,0.7196856141
"462","53","22","low","1","1.tif",0,0,68,0.8303641677
"463","53","22","low","1","1.tif",0,0,66,0.9624087811
"464","53","22","low","1","1.tif",0,0,64,1.0089277029
"465","53","22","low","1","1.tif",0,0,62,0.8508992195
"466","53","22","low","1","1.tif",0,0,60,1.1445233822
"467","53","22","low","1","1.tif",0,0,58,1.3092479706
"468","53","22","low","1","1.tif",0,0,56,1.164249897
"469","53","22","low","1","1.tif",0,0,54,1.0688066483
"470","53","22","low","1","1.tif",0,0,52,1.2904089689
"471","53","22","low","1","1.tif",0,0,50,1.3492088318
"472","53","22","low","1","1.tif",0,0,48,1.3932129145
"473","53","22","low","1","1.tif",0,0,46,1.3922613859
"474","53","22","low","1","1.tif",0,0,44,1.7690410614
"475","53","22","low","1","1.tif",0,0,42,1.9052041769
"476","53","22","low","1","1.tif",0,0,40,2.6871407032
"477","53","22","low","1","1.tif",0,0,38,2.7572505474
